,from,to,distance
523,Osterhofen,Pfaffenhofen a.d. Ilm,157789.8
524,Osterhofen,München,151966.4
525,Eichstätt,Augsburg,90975.2
526,Eichstätt,Ingolstadt,27238.1
527,Eichstätt,Regensburg,90723.4
528,Eichstätt,Landshut,136180.5
529,Eichstätt,Straubing,131798.7
530,Eichstätt,Passau,206844.0
531,Eichstätt,Deggendorf,159174.3
532,Eichstätt,Burghausen,208372.5
533,Eichstätt,"Weißenburg, Bayern",28033.1
534,Eichstätt,Freising,87048.5
535,Eichstätt,Moosburg a.d. Isar,95008.5
536,Eichstätt,Vilsbiburg,153919.1
537,Eichstätt,Landau a.d. Isar,148118.4
538,Eichstätt,Mainburg,72625.0
539,Eichstätt,Abensberg,69578.8
540,Eichstätt,Schierling,117112.9
541,Eichstätt,Schrobenhausen,46730.5
542,Eichstätt,Erding,112673.6
543,Eichstätt,Pfarrkirchen,220147.8
544,Eichstätt,Osterhofen,177562.7
545,Eichstätt,Eichstätt,0.0
546,Eichstätt,Neuburg a.d. Donau,22569.9
547,Eichstätt,Kösching,28241.2
548,Eichstätt,Pfaffenhofen a.d. Ilm,67858.6
549,Eichstätt,München,110242.9
550,Neuburg a.d. Donau,Augsburg,68910.1
551,Neuburg a.d. Donau,Ingolstadt,24075.4
552,Neuburg a.d. Donau,Regensburg,113902.6
553,Neuburg a.d. Donau,Landshut,122849.4
554,Neuburg a.d. Donau,Straubing,154977.9
555,Neuburg a.d. Donau,Passau,230023.2
556,Neuburg a.d. Donau,Deggendorf,182353.5
557,Neuburg a.d. Donau,Burghausen,195041.4
558,Neuburg a.d. Donau,"Weißenburg, Bayern",47531.9
559,Neuburg a.d. Donau,Freising,73717.4
560,Neuburg a.d. Donau,Moosburg a.d. Isar,81677.4
561,Neuburg a.d. Donau,Vilsbiburg,140588.0
562,Neuburg a.d. Donau,Landau a.d. Isar,134787.3
563,Neuburg a.d. Donau,Mainburg,59293.9
564,Neuburg a.d. Donau,Abensberg,59002.4
565,Neuburg a.d. Donau,Schierling,103781.8
566,Neuburg a.d. Donau,Schrobenhausen,25634.5
567,Neuburg a.d. Donau,Erding,99342.5
568,Neuburg a.d. Donau,Pfarrkirchen,206816.7
569,Neuburg a.d. Donau,Osterhofen,200741.9
570,Neuburg a.d. Donau,Eichstätt,22569.9
571,Neuburg a.d. Donau,Neuburg a.d. Donau,0.0
572,Neuburg a.d. Donau,Kösching,32462.6
573,Neuburg a.d. Donau,Pfaffenhofen a.d. Ilm,41052.0
574,Neuburg a.d. Donau,München,96911.8
575,Kösching,Augsburg,90170.1
576,Kösching,Ingolstadt,9626.4
577,Kösching,Regensburg,74015.9
578,Kösching,Landshut,75052.9
579,Kösching,Straubing,115091.2
580,Kösching,Passau,190136.5
581,Kösching,Deggendorf,142466.8
582,Kösching,Burghausen,185467.5
583,Kösching,"Weißenburg, Bayern",53203.3
584,Kösching,Freising,64143.4
585,Kösching,Moosburg a.d. Isar,72103.5
586,Kösching,Vilsbiburg,92844.9
587,Kösching,Landau a.d. Isar,115729.7
588,Kösching,Mainburg,49719.9
589,Kösching,Abensberg,37378.7
590,Kösching,Schierling,63895.1
591,Kösching,Schrobenhausen,48810.6
592,Kösching,Erding,89768.5
593,Kösching,Pfarrkirchen,197242.8
594,Kösching,Osterhofen,160855.2
595,Kösching,Eichstätt,28241.2
596,Kösching,Neuburg a.d. Donau,32462.6
597,Kösching,Kösching,0.0
598,Kösching,Pfaffenhofen a.d. Ilm,44761.3
599,Kösching,München,87337.8
600,Pfaffenhofen a.d. Ilm,Augsburg,60735.1
601,Pfaffenhofen a.d. Ilm,Ingolstadt,38051.8
602,Pfaffenhofen a.d. Ilm,Regensburg,84995.0
603,Pfaffenhofen a.d. Ilm,Landshut,80115.9
604,Pfaffenhofen a.d. Ilm,Straubing,126070.3
605,Pfaffenhofen a.d. Ilm,Passau,199840.6
606,Pfaffenhofen a.d. Ilm,Deggendorf,151830.3
607,Pfaffenhofen a.d. Ilm,Burghausen,152307.9
608,Pfaffenhofen a.d. Ilm,"Weißenburg, Bayern",92820.6
609,Pfaffenhofen a.d. Ilm,Freising,30983.9
610,Pfaffenhofen a.d. Ilm,Moosburg a.d. Isar,38430.4
611,Pfaffenhofen a.d. Ilm,Vilsbiburg,97854.5
612,Pfaffenhofen a.d. Ilm,Landau a.d. Isar,127534.1
613,Pfaffenhofen a.d. Ilm,Mainburg,30386.2
614,Pfaffenhofen a.d. Ilm,Abensberg,52334.6
615,Pfaffenhofen a.d. Ilm,Schierling,74874.1
616,Pfaffenhofen a.d. Ilm,Schrobenhausen,22178.2
617,Pfaffenhofen a.d. Ilm,Erding,56609.0
618,Pfaffenhofen a.d. Ilm,Pfarrkirchen,164083.2
619,Pfaffenhofen a.d. Ilm,Osterhofen,157789.8
620,Pfaffenhofen a.d. Ilm,Eichstätt,67858.6
621,Pfaffenhofen a.d. Ilm,Neuburg a.d. Donau,41052.0
622,Pfaffenhofen a.d. Ilm,Kösching,44761.3
623,Pfaffenhofen a.d. Ilm,Pfaffenhofen a.d. Ilm,0.0
624,Pfaffenhofen a.d. Ilm,München,54178.3
